Symbol,Name,Country,IPO Year,Volume,Sector,Industry
IP,International Paper Company,United States,NA,2155653,Basic Industries,Paper
IPG,Interpublic Group of Companies Inc. (The),United States,NA,2752042,Technology,Advertising
IPI,Intrepid Potash Inc,United States,2008,144188,Basic Industries,Mining & Quarrying of Nonmetallic Minerals (No Fuels)
IQV,IQVIA Holdings Inc.,United States,2013,639707,Health Care,Biotechnology: Commercial Physical & Biological Resarch
IR,Ingersoll Rand Inc.,United States,2017,1494150,Technology,Industrial Machinery/Components
IRS,IRSA Inversiones Y Representaciones S.A.,Argentina,NA,43075,Consumer Services,Homebuilding
IRT,Independence Realty Trust Inc.,United States,2013,364761,Consumer Services,Real Estate Investment Trusts
ITT,ITT Inc.,United States,2011,626535,Capital Goods,Fluid Controls
ITW,Illinois Tool Works Inc.,United States,NA,1095752,Technology,Industrial Machinery/Components
IVR,INVESCO MORTGAGE CAPITAL INC,United States,2009,5130105,Consumer Services,Real Estate Investment Trusts
IVZ,Invesco Ltd,United States,NA,2280658,Finance,Investment Managers
IX,Orix Corp Ads,Japan,NA,23934,Finance,Diversified Financial Services
J,Jacobs Engineering Group Inc.,United States,NA,554459,Basic Industries,Military/Government/Technical
JAX,J. Alexander's Holdings Inc.,NA,2015,31279,Consumer Services,Restaurants
JBL,Jabil Inc.,United States,1993,895541,Technology,Electrical Products
JBT,John Bean Technologies Corporation,United States,NA,106535,Technology,Industrial Machinery/Components
JEF,Jefferies Financial Group Inc.,United States,NA,2548466,Finance,Investment Bankers/Brokers/Service
JELD,JELD-WEN Holding Inc.,United States,2017,259676,Basic Industries,Forest Products
JIH,Juniper Industrial Holdings Inc. Class A,NA,2019,126906,Finance,Business Services
JILL,J. Jill Inc.,NA,2017,380699,Consumer Non-Durables,Apparel
JLL,Jones Lang LaSalle Incorporated,United States,NA,213635,Finance,Real Estate
JNJ,Johnson & Johnson,United States,NA,4605925,Health Care,Major Pharmaceuticals
JNPR,Juniper Networks Inc.,United States,1999,2573883,Technology,Computer Communications Equipment
JOE,St. Joe Company (The),United States,NA,157189,Consumer Services,Homebuilding
JPM,JP Morgan Chase & Co.,United States,NA,16894153,Finance,Major Banks
JWN,Nordstrom Inc.,United States,NA,1643666,Consumer Services,Clothing/Shoe/Accessory Stores
K,Kellogg Company,United States,NA,1749069,Consumer Non-Durables,Packaged Foods
KAI,Kadant Inc,United States,NA,35364,Technology,Industrial Machinery/Components
KAMN,Kaman Corporation,United States,NA,177500,Capital Goods,Military/Government/Technical
KAR,KAR Auction Services Inc,United States,2009,1475275,Consumer Durables,Automotive Aftermarket
KBH,KB Home,United States,1986,1023030,Capital Goods,Homebuilding
KBR,KBR Inc.,United States,2006,1120135,Basic Industries,Military/Government/Technical
KEX,Kirby Corporation,United States,NA,486654,Consumer Services,Marine Transportation
KEYS,Keysight Technologies Inc.,United States,2014,680785,Capital Goods,Industrial Machinery/Components
KFY,Korn Ferry,United States,1999,223394,Technology,Diversified Commercial Services
KGC,Kinross Gold Corporation,Canada,NA,9287853,Basic Industries,Precious Metals
KIM,Kimco Realty Corporation,United States,NA,2360103,Consumer Services,Real Estate Investment Trusts
KKR,KKR & Co. Inc.,United States,NA,1683671,Finance,Investment Managers
KMB,Kimberly-Clark Corporation,United States,NA,1498401,Consumer Durables,Containers/Packaging
KMI,Kinder Morgan Inc.,United States,2011,11087597,Public Utilities,Natural Gas Distribution
KMT,Kennametal Inc.,United States,NA,561032,Capital Goods,Industrial Machinery/Components
KN,Knowles Corporation,NA,2014,357805,Consumer Non-Durables,Consumer Electronics/Appliances
KNL,Knoll Inc.,United States,2004,143447,Consumer Durables,Office Equipment/Supplies/Services
KO,Coca-Cola Company (The),United States,NA,10060963,Consumer Non-Durables,Beverages (Production/Distribution)
KOP,Koppers Holdings Inc. Koppers Holdings Inc.,United States,2006,95938,Basic Industries,Forest Products
KR,Kroger Company (The),United States,NA,11802169,Consumer Services,Food Chains
KRA,Kraton Corporation,United States,2009,198063,Basic Industries,Major Chemicals
KRC,Kilroy Realty Corporation,United States,1997,657896,Consumer Services,Real Estate Investment Trusts
KREF,KKR Real Estate Finance Trust Inc.,United States,2017,352735,Consumer Services,Real Estate Investment Trusts
KRG,Kite Realty Group Trust,United States,2004,498647,Consumer Services,Real Estate Investment Trusts
KRO,Kronos Worldwide Inc,United States,NA,104749,Basic Industries,Major Chemicals
KSS,Kohl's Corporation,United States,1992,2900094,Consumer Services,Department/Specialty Retail Stores
KSU,Kansas City Southern,United States,NA,459119,Transportation,Railroads
KT,KT Corporation,South Korea,NA,547342,Public Utilities,Telecommunications Equipment
KW,Kennedy-Wilson Holdings Inc.,United States,NA,388830,Finance,Real Estate
KWR,Quaker Chemical Corporation,United States,NA,75711,Basic Industries,Major Chemicals
LAD,Lithia Motors Inc.,United States,NA,255619,Consumer Durables,Automotive Aftermarket
LADR,Ladder Capital Corp Class A,NA,2014,498019,Consumer Services,Real Estate Investment Trusts
LAZ,Lazard LTD. Lazard LTD. Class A,Bermuda,2005,835321,Finance,Investment Managers
LBRT,Liberty Oilfield Services Inc. Class A,United States,2018,657710,Energy,Oilfield Services/Equipment
LC,LendingClub Corporation,United States,2014,4774613,Finance,Finance: Consumer Services
LCI,Lannett Co Inc,United States,NA,461413,Health Care,Major Pharmaceuticals
LDI,loanDepot Inc. Class A,NA,2021,565514,Finance,Finance: Consumer Services
LDL,Lydall Inc.,United States,NA,108336,Capital Goods,Auto Parts:O.E.M.
LDOS,Leidos Holdings Inc.,United States,NA,488650,Technology,EDP Services
LEA,Lear Corporation,United States,NA,302005,Capital Goods,Auto Parts:O.E.M.
LEAF,Leaf Group Ltd.,United States,NA,2513297,Technology,EDP Services
LEE,Lee Enterprises Incorporated,United States,NA,62876,Consumer Services,Newspapers/Magazines
LEG,Leggett & Platt Incorporated,United States,NA,776863,Consumer Durables,Home Furnishings
LEN,Lennar Corporation Class A,United States,NA,1847899,Basic Industries,Homebuilding
LEVI,Levi Strauss & Co Class A,United States,2019,1116480,Consumer Non-Durables,Apparel
LFT,Lument Finance Trust Inc.,United States,2013,56109,Consumer Services,Real Estate Investment Trusts
LH,Laboratory Corporation of America Holdings,United States,NA,423946,Health Care,Medical Specialities
LHX,L3Harris Technologies Inc.,United States,NA,797220,Capital Goods,Industrial Machinery/Components
LII,Lennox International Inc.,United States,1999,240769,Capital Goods,Industrial Machinery/Components
LL,Lumber Liquidators Holdings Inc,United States,2007,293031,Consumer Services,RETAIL: Building Materials
LLY,Eli Lilly and Company,United States,NA,3406065,Health Care,Major Pharmaceuticals
LMND,Lemonade Inc.,United States,2020,1161225,Finance,Property-Casualty Insurers
LMT,Lockheed Martin Corporation,United States,NA,976794,Capital Goods,Military/Government/Technical
LNC,Lincoln National Corporation,United States,NA,1044422,Finance,Life Insurance
LNN,Lindsay Corporation,United States,NA,78987,Capital Goods,Industrial Machinery/Components
LPG,Dorian LPG Ltd.,NA,2014,509536,Transportation,Marine Transportation
LPI,Laredo Petroleum Inc.,United States,2011,600597,Energy,Oil & Gas Production
LPX,Louisiana-Pacific Corporation,United States,NA,1195717,Basic Industries,Forest Products
LRN,Stride Inc.,United States,NA,1149539,Consumer Services,Other Consumer Services
LSI,Life Storage Inc.,United States,NA,533816,Consumer Services,Real Estate Investment Trusts
LTC,LTC Properties Inc.,United States,NA,144038,Consumer Services,Real Estate Investment Trusts
LTHM,Livent Corporation,United States,2018,2178491,Basic Industries,Major Chemicals
LUMN,Lumen Technologies Inc.,United States,NA,8530053,Public Utilities,Telecommunications Equipment
LUV,Southwest Airlines Company,United States,NA,4318543,Transportation,Air Freight/Delivery Services
LVS,Las Vegas Sands Corp.,United States,2004,3936883,Consumer Services,Hotels/Resorts
LW,Lamb Weston Holdings Inc.,NA,2016,2575150,Consumer Non-Durables,Packaged Foods
LYV,Live Nation Entertainment Inc.,United States,NA,1283282,Consumer Services,Services-Misc. Amusement & Recreation
MA,Mastercard Incorporated,United States,2006,2958269,Miscellaneous,Business Services
MAA,Mid-America Apartment Communities Inc.,United States,1994,639356,Consumer Services,Real Estate Investment Trusts
MAS,Masco Corporation,United States,NA,2362416,Capital Goods,Industrial Specialties
MATX,Matson Inc.,United States,NA,852536,Consumer Services,Marine Transportation
MBI,MBIA Inc.,United States,1987,304704,Finance,Property-Casualty Insurers
MC,Moelis & Company Class A,NA,2014,428251,Finance,Investment Managers
MCD,McDonald's Corporation,United States,NA,2550406,Consumer Services,Restaurants
MCK,McKesson Corporation,United States,NA,683861,Health Care,Other Pharmaceuticals
MCO,Moody's Corporation,United States,NA,508485,Finance,Finance: Consumer Services
MCS,Marcus Corporation (The),United States,NA,322841,Consumer Services,Movies/Entertainment
MCY,Mercury General Corporation,United States,NA,286161,Finance,Property-Casualty Insurers
MD,Mednax Inc.,United States,NA,529408,Health Care,Hospital/Nursing Management
MDC,M.D.C. Holdings Inc.,United States,NA,342493,Capital Goods,Homebuilding
MDLA,Medallia Inc.,United States,2019,1127597,Technology,Computer Software: Programming Data Processing
MDP,Meredith Corporation,United States,NA,249733,Consumer Services,Newspapers/Magazines
MDU,MDU Resources Group Inc. (Holding Company),United States,NA,1989312,Basic Industries,Mining & Quarrying of Nonmetallic Minerals (No Fuels)
MED,MEDIFAST INC,United States,NA,98466,Consumer Non-Durables,Packaged Foods
MEG,Montrose Environmental Group Inc.,United States,2020,149077,Consumer Services,Professional Services
MEI,Methode Electronics Inc.,United States,NA,250192,Capital Goods,Electrical Products
MET,MetLife Inc.,United States,2000,4367652,Finance,Life Insurance
MG,Mistras Group Inc,United States,2009,266086,Consumer Services,Military/Government/Technical
MGA,Magna International Inc.,Canada,NA,675965,Capital Goods,Auto Parts:O.E.M.
MGM,MGM Resorts International,United States,NA,6763176,Consumer Services,Hotels/Resorts
MGY,Magnolia Oil & Gas Corporation Class A,United States,2017,1406228,Energy,Oil & Gas Production
MHK,Mohawk Industries Inc.,United States,NA,399587,Consumer Durables,Home Furnishings
MHO,M/I Homes Inc.,United States,1993,220390,Capital Goods,Homebuilding
MIC,Macquarie Infrastructure Corporation,United States,2004,691462,Energy,Oil Refining/Marketing
MIT,Mason Industrial Technology Inc. Class A,NA,2021,1921,Finance,Business Services
MKC,McCormick & Company Incorporated,United States,NA,1205356,Consumer Non-Durables,Packaged Foods
MLI,Mueller Industries Inc.,United States,NA,201113,Capital Goods,Metal Fabrications
MLM,Martin Marietta Materials Inc.,United States,1994,444729,Basic Industries,Mining & Quarrying of Nonmetallic Minerals (No Fuels)
MLP,Maui Land & Pineapple Company Inc.,United States,NA,16538,Finance,Real Estate
MLR,Miller Industries Inc.,United States,NA,61658,Capital Goods,Construction/Ag Equipment/Trucks
MMC,Marsh & McLennan Companies Inc.,United States,NA,1334551,Finance,Specialty Insurers
MMI,Marcus & Millichap Inc.,NA,2013,138358,Finance,Real Estate
MMM,3M Company,United States,NA,1501428,Health Care,Medical/Dental Instruments
MMS,Maximus Inc.,United States,1997,232843,Miscellaneous,Business Services
MN,Manning & Napier Inc. Class A,United States,2011,13701,Finance,Investment Managers
MOD,Modine Manufacturing Company,United States,NA,256932,Capital Goods,Auto Parts:O.E.M.
MOH,Molina Healthcare Inc,United States,2003,230553,Health Care,Medical Specialities
MOS,Mosaic Company (The),United States,NA,3704499,Basic Industries,Agricultural Chemicals
MOV,Movado Group Inc.,United States,NA,160936,Consumer Non-Durables,Consumer Specialties
MP,MP Materials Corp.,NA,2020,3810292,Basic Industries,Precious Metals
MPC,Marathon Petroleum Corporation,United States,NA,3850349,Energy,Integrated oil Companies
MPX,Marine Products Corporation,United States,NA,15642,Capital Goods,Marine Transportation
MRC,MRC Global Inc.,United States,2012,426698,Capital Goods,Industrial Machinery/Components
MRK,Merck & Company Inc. (new),United States,NA,8556611,Health Care,Major Pharmaceuticals
MRO,Marathon Oil Corporation,United States,NA,18915639,Energy,Oil & Gas Production
MS,Morgan Stanley,United States,NA,8312336,Finance,Investment Bankers/Brokers/Service
MSA,MSA Safety Incorporated,United States,NA,126581,Health Care,Industrial Specialties
MSCI,MSCI Inc,United States,NA,190056,Miscellaneous,Business Services
MSGE,Madison Square Garden Entertainment Corp. Class A,NA,2020,504179,Consumer Services,Services-Misc. Amusement & Recreation
MSGN,MSG Networks Inc.,United States,NA,1577612,Consumer Services,Television Services
MSGS,Madison Square Garden Sports Corp. Class A (New),United States,2015,160510,Consumer Services,Services-Misc. Amusement & Recreation
MSI,Motorola Solutions Inc.,United States,NA,617378,Technology,Radio And Television Broadcasting And Communications Equipment
MSM,MSC Industrial Direct Company Inc.,United States,1995,1027858,Capital Goods,Industrial Machinery/Components
MSP,Datto Holding Corp.,United States,2020,265900,Technology,Computer Software: Prepackaged Software
MTB,M&T Bank Corporation,United States,NA,577057,Finance,Major Banks
MTD,Mettler-Toledo International Inc.,Switzerland,1997,63789,Capital Goods,Biotechnology: Laboratory Analytical Instruments
MTDR,Matador Resources Company,United States,2012,1325525,Energy,Oil & Gas Production
MTG,MGIC Investment Corporation,United States,1991,1847151,Finance,Property-Casualty Insurers
MTH,Meritage Homes Corporation,United States,NA,275481,Capital Goods,Homebuilding
MTN,Vail Resorts Inc.,United States,1997,247451,Consumer Services,Services-Misc. Amusement & Recreation
MTW,Manitowoc Company Inc. (The),United States,NA,351888,Capital Goods,Construction/Ag Equipment/Trucks
MTX,Minerals Technologies Inc.,United States,1992,126485,Basic Industries,Major Chemicals
MTZ,MasTec Inc.,United States,NA,521710,Basic Industries,Water Supply
MUFG,Mitsubishi UFJ Financial Group Inc.,Japan,NA,962990,Finance,Commercial Banks
MUR,Murphy Oil Corporation,United States,NA,3021274,Energy,Oil & Gas Production
MUSA,Murphy USA Inc.,United States,2013,170805,Consumer Durables,Automotive Aftermarket
MUX,McEwen Mining Inc.,Canada,NA,1548224,Basic Industries,Precious Metals
MX,Magnachip Semiconductor Corporation,Luxembourg,2011,1293427,Technology,Semiconductors
MXL,MaxLinear Inc.,United States,2010,387668,Technology,Semiconductors
NAPA,The Duckhorn Portfolio Inc.,NA,2021,611806,Consumer Non-Durables,Beverages (Production/Distribution)
NAT,Nordic American Tankers Limited,Bermuda,NA,3898653,Consumer Services,Marine Transportation
NAV,Navistar International Corporation,United States,NA,266061,Capital Goods,Auto Manufacturing
NC,NACCO Industries Inc.,United States,NA,19779,Consumer Durables,Consumer Electronics/Appliances
NCR,NCR Corporation,United States,NA,1264181,Miscellaneous,Office Equipment/Supplies/Services
NEE,NextEra Energy Inc.,United States,NA,6760659,Public Utilities,Electric Utilities: Central
NEU,NewMarket Corp,United States,NA,28358,Basic Industries,Major Chemicals
NEWR,New Relic Inc.,United States,2014,406402,Technology,Computer Software: Prepackaged Software
NEX,NexTier Oilfield Solutions Inc.,United States,2017,1028226,Energy,Oilfield Services/Equipment
NFG,National Fuel Gas Company,United States,NA,250081,Public Utilities,Oil/Gas Transmission
NGA,Northern Genesis Acquisition Corp.,United States,2020,767641,Finance,Business Services
NGS,Natural Gas Services Group Inc.,United States,2002,24568,Energy,Oilfield Services/Equipment
NGVT,Ingevity Corporation,NA,2016,175744,Basic Industries,Major Chemicals
NHI,National Health Investors Inc.,United States,NA,194445,Consumer Services,Real Estate Investment Trusts
NI,NiSource Inc,United States,NA,2015818,Public Utilities,Power Generation
NINE,Nine Energy Service Inc.,United States,2018,44884,Energy,Oilfield Services/Equipment
NKE,Nike Inc.,United States,NA,6644758,Consumer Non-Durables,Shoe Manufacturing
NL,NL Industries Inc.,United States,NA,38718,Basic Industries,Major Chemicals
NLS,Nautilus Inc.,United States,NA,552380,Consumer Non-Durables,Recreational Products/Toys
NLY,Annaly Capital Management Inc,United States,NA,10950523,Consumer Services,Real Estate Investment Trusts
NM,Navios Maritime Holdings Inc.,Monaco,NA,244681,Transportation,Marine Transportation
NNN,National Retail Properties,United States,NA,1039387,Consumer Services,Real Estate Investment Trusts
NOC,Northrop Grumman Corporation,United States,NA,932950,Capital Goods,Industrial Machinery/Components
NOV,NOV Inc.,United States,NA,3720898,Energy,Metal Fabrications
NOVA,Sunnova Energy International Inc.,United States,2019,1572076,Public Utilities,Power Generation
NP,Neenah Inc.,United States,NA,145702,Basic Industries,Paper
NPK,National Presto Industries Inc.,United States,NA,22786,Capital Goods,Ordnance And Accessories
NPTN,NeoPhotonics Corporation,United States,2011,463305,Technology,Semiconductors
NR,Newpark Resources Inc.,United States,NA,431612,Energy,Metal Fabrications
NRG,NRG Energy Inc.,United States,NA,2215723,Public Utilities,Electric Utilities: Central
NRZ,New Residential Investment Corp.,United States,NA,3199924,Consumer Services,Real Estate Investment Trusts
NSC,Norfolk Southern Corporation,United States,NA,976573,Transportation,Railroads
NTP,Nam Tai Property Inc.,China,NA,34249,Finance,Real Estate
NUE,Nucor Corporation,United States,NA,2290927,Basic Industries,Steel/Iron Ore
NUS,Nu Skin Enterprises Inc.,United States,1996,428725,Health Care,Other Pharmaceuticals
NVO,Novo Nordisk A/S,Denmark,NA,807659,Health Care,Major Pharmaceuticals
NVR,NVR Inc.,United States,NA,19451,Capital Goods,Homebuilding
NVS,Novartis AG,Switzerland,NA,2140481,Health Care,Major Pharmaceuticals
NVST,Envista Holdings Corporation,NA,2019,13574125,Health Care,Medical/Dental Instruments
NVTA,Invitae Corporation,United States,2015,4125018,Health Care,Medical Specialities
NWN,Northwest Natural Holding Company,United States,NA,121022,Public Utilities,Oil/Gas Transmission
NXRT,NexPoint Residential Trust Inc.,United States,2015,79521,Consumer Services,Real Estate Investment Trusts
NYC,New York City REIT Inc. Class A,NA,2020,11757,Consumer Services,Real Estate Investment Trusts
NYCB,New York Community Bancorp Inc.,United States,NA,2858841,Finance,Banks
NYT,New York Times Company (The),United States,NA,1204195,Consumer Services,Newspapers/Magazines
OC,Owens Corning Inc New,United States,NA,999454,Capital Goods,Industrial Machinery/Components
OCA,Omnichannel Acquisition Corp. Class A,NA,2021,165933,Finance,Business Services
OCN,Ocwen Financial Corporation NEW,United States,NA,33741,Finance,Finance: Consumer Services
OFC,Corporate Office Properties Trust,United States,NA,660358,Consumer Services,Real Estate Investment Trusts
OGE,OGE Energy Corp,United States,NA,888549,Public Utilities,Electric Utilities: Central
OGS,ONE Gas Inc.,NA,2014,172710,Public Utilities,Oil/Gas Transmission
OHI,Omega Healthcare Investors Inc.,United States,1992,1576138,Consumer Services,Real Estate Investment Trusts
OI,O-I Glass Inc.,United States,NA,945004,Consumer Durables,Containers/Packaging
OII,Oceaneering International Inc.,United States,NA,679686,Energy,Oilfield Services/Equipment
OKE,ONEOK Inc.,United States,NA,2493551,Public Utilities,Oil & Gas Production
OLN,Olin Corporation,United States,NA,1136254,Basic Industries,Major Chemicals
OMC,Omnicom Group Inc.,United States,NA,1324116,Technology,Advertising
OMF,OneMain Holdings Inc.,NA,2013,581603,Finance,Finance: Consumer Services
OMI,Owens & Minor Inc.,United States,NA,693761,Health Care,Medical Specialities
OOMA,Ooma Inc.,NA,2015,84008,Technology,EDP Services
OPY,Oppenheimer Holdings Inc. Class A (DE),United States,NA,66758,Finance,Investment Bankers/Brokers/Service
ORA,Ormat Technologies Inc.,United States,2004,647578,Public Utilities,Electric Utilities: Central
ORC,Orchid Island Capital Inc.,United States,2013,1387046,Consumer Services,Real Estate Investment Trusts
ORCL,Oracle Corporation,United States,1986,12355756,Technology,Computer Software: Prepackaged Software
OTIS,Otis Worldwide Corporation,NA,2020,7225736,Energy,Consumer Electronics/Appliances
OUST,Ouster Inc.,United States,2020,33761082,Capital Goods,Industrial Machinery/Components
OXM,Oxford Industries Inc.,United States,NA,67344,Consumer Non-Durables,Apparel
OXY,Occidental Petroleum Corporation,United States,NA,14344119,Energy,Oil & Gas Production
PAG,Penske Automotive Group Inc.,United States,NA,178200,Consumer Durables,Automotive Aftermarket
PANW,Palo Alto Networks Inc.,United States,2012,928553,Technology,Computer peripheral equipment
PAR,PAR Technology Corporation,United States,NA,148838,Miscellaneous,Office Equipment/Supplies/Services
PARR,Par Pacific Holdings Inc.,United States,NA,264863,Energy,Oil & Gas Production
PAYC,Paycom Software Inc.,NA,2014,310795,Technology,Computer Software: Prepackaged Software
PB,Prosperity Bancshares Inc.,United States,NA,211285,Finance,Major Banks
PBF,PBF Energy Inc. Class A,United States,2012,2108755,Energy,Integrated oil Companies
PBI,Pitney Bowes Inc.,United States,NA,1335756,Miscellaneous,Office Equipment/Supplies/Services
PBR,Petroleo Brasileiro S.A.- Petrobras,Brazil,NA,27146325,Energy,Oil & Gas Production
PCG,Pacific Gas & Electric Co.,United States,NA,9199700,Public Utilities,Power Generation
PD,PagerDuty Inc.,NA,2019,947807,Technology,Computer Software: Prepackaged Software
PDM,Piedmont Office Realty Trust Inc. Class A,United States,NA,555855,Consumer Services,Building operators
PDS,Precision Drilling Corporation,Canada,NA,105410,Energy,Oil & Gas Production
PEG,Public Service Enterprise Group Incorporated,United States,NA,1648762,Public Utilities,Power Generation
PEI,Pennsylvania Real Estate Investment Trust,United States,NA,534157,Consumer Services,Real Estate Investment Trusts
PEN,Penumbra Inc.,NA,2015,135791,Health Care,Medical/Dental Instruments
PFE,Pfizer Inc.,United States,NA,21911213,Health Care,Major Pharmaceuticals
PFGC,Performance Food Group Company,United States,2015,492354,Consumer Non-Durables,Food Distributors
PFS,Provident Financial Services Inc,United States,2003,336146,Finance,Savings Institutions
PFSI,PennyMac Financial Services Inc.,United States,2013,581635,Finance,Finance: Consumer Services
PG,Procter & Gamble Company (The),United States,NA,10244484,Basic Industries,Package Goods/Cosmetics
PGR,Progressive Corporation (The),United States,NA,2146566,Finance,Property-Casualty Insurers
PGRE,Paramount Group Inc.,United States,2014,2629440,Consumer Services,Real Estate Investment Trusts
PH,Parker-Hannifin Corporation,United States,NA,609980,Capital Goods,Metal Fabrications
PHM,PulteGroup Inc.,United States,NA,2081178,Capital Goods,Homebuilding
PHR,Phreesia Inc.,United States,2019,898436,Miscellaneous,Business Services
PHX,PHX Minerals Inc.,United States,NA,42940,Energy,Oil & Gas Production
PII,Polaris Inc.,United States,NA,500671,Capital Goods,Industrial Specialties
PINE,Alpine Income Property Trust Inc.,United States,2019,69472,Consumer Services,Real Estate Investment Trusts
PING,Ping Identity Holding Corp.,United States,2019,777928,Technology,Computer Software: Prepackaged Software
PINS,Pinterest Inc. Class A,NA,2019,9857499,Technology,Computer Software: Programming Data Processing
PIPP,Pine Island Acquisition Corp. Class A,United States,2021,160519,Finance,Business Services
PIPR,Piper Sandler Companies,United States,NA,54233,Finance,Investment Bankers/Brokers/Service
PK,Park Hotels & Resorts Inc.,United States,2016,2216557,Consumer Services,Hotels/Resorts
PKE,Park Aerospace Corp.,United States,NA,106141,Capital Goods,Military/Government/Technical
PKG,Packaging Corporation of America,United States,2000,522383,Consumer Durables,Containers/Packaging
PKI,PerkinElmer Inc.,United States,NA,651597,Capital Goods,Biotechnology: Laboratory Analytical Instruments
PKX,POSCO,South Korea,1994,192553,Basic Industries,Steel/Iron Ore
PLAN,Anaplan Inc.,United States,2018,1200486,Technology,Computer Software: Prepackaged Software
PLD,Prologis Inc.,United States,NA,3400526,Consumer Services,Real Estate Investment Trusts
PLNT,Planet Fitness Inc.,United States,2015,888529,Consumer Services,Hotels/Resorts
PLOW,Douglas Dynamics Inc.,United States,2010,108613,Capital Goods,Construction/Ag Equipment/Trucks
PLT,Plantronics Inc.,United States,1994,327921,Public Utilities,Telecommunications Equipment
PLTR,Palantir Technologies Inc. Class A,NA,2020,32553859,Technology,Computer Software: Prepackaged Software
PLYM,Plymouth Industrial REIT Inc.,United States,2017,110293,Consumer Services,Real Estate Investment Trusts
PM,Philip Morris International Inc,United States,NA,3354644,Consumer Non-Durables,Farming/Seeds/Milling
PNC,PNC Financial Services Group Inc. (The),United States,NA,1951370,Finance,Major Banks
PNM,PNM Resources Inc. (Holding Co.),United States,NA,471229,Public Utilities,Electric Utilities: Central
PNW,Pinnacle West Capital Corporation,United States,NA,735575,Public Utilities,Electric Utilities: Central
POR,Portland General Electric Co,United States,NA,362023,Public Utilities,Electric Utilities: Central
PPG,PPG Industries Inc.,United States,NA,2148663,Basic Industries,Paints/Coatings
PRA,ProAssurance Corporation,United States,NA,153804,Finance,Property-Casualty Insurers
PRI,Primerica Inc.,United States,2010,86235,Finance,Life Insurance
PRSP,Perspecta Inc.,NA,2018,2482962,Technology,EDP Services
PRTY,Party City Holdco Inc.,United States,2015,1360655,Consumer Services,Other Specialty Stores
PRU,Prudential Financial Inc.,United States,2001,1644710,Finance,Life Insurance
PSN,Parsons Corporation,NA,2019,511720,Technology,EDP Services
PSO,Pearson Plc,United Kingdom,NA,142173,Consumer Services,Books
PSTG,Pure Storage Inc. Class A,NA,2015,2495225,Technology,Electronic Components
PSTH,Pershing Square Tontine Holdings Ltd. Class A,NA,2020,979739,Finance,Business Services
PSX,Phillips 66,United States,NA,2705716,Energy,Integrated oil Companies
PTR,PetroChina Company Limited,China,NA,194273,Energy,Oil & Gas Production
PUK,Prudential Public Limited Company,United Kingdom,NA,137922,Finance,Life Insurance
PVH,PVH Corp.,United States,NA,610157,Consumer Non-Durables,Apparel
PWR,Quanta Services Inc.,United States,NA,1562764,Capital Goods,Engineering & Construction
PXD,Pioneer Natural Resources Company,United States,NA,1901187,Energy,Oil & Gas Production
QS,QuantumScape Corporation Class A,United States,2020,9259115,Miscellaneous,Industrial Machinery/Components
QTS,QTS Realty Trust Inc. Class A,United States,2013,254441,Consumer Services,Real Estate Investment Trusts
QTWO,Q2 Holdings Inc.,NA,2014,582149,Technology,Computer Software: Prepackaged Software
QUAD,Quad Graphics Inc Class A,United States,NA,352200,Miscellaneous,Publishing
QUOT,Quotient Technology Inc.,NA,2014,376112,Consumer Services,Advertising
R,Ryder System Inc.,United States,NA,364672,Consumer Services,Rental/Leasing Companies
RAD,Rite Aid Corporation,United States,NA,1020467,Health Care,Medical/Nursing Services
RAMP,LiveRamp Holdings Inc.,United States,2018,352782,Technology,EDP Services
RBA,Ritchie Bros. Auctioneers Incorporated,Canada,NA,576727,Miscellaneous,Business Services
RBC,Regal Beloit Corporation,United States,NA,260808,Consumer Durables,Metal Fabrications
RBLX,Roblox Corporation Class A,NA,2021,4411706,Technology,Computer Software: Prepackaged Software
RC,Ready Capital Corproation,United States,2013,383916,Consumer Services,Real Estate Investment Trusts
RCI,Rogers Communication Inc.,Canada,NA,489244,Consumer Services,Television Services
RCL,D/B/A Royal Caribbean Cruises Ltd.,United States,1993,5524385,Consumer Services,Marine Transportation
RDN,Radian Group Inc.,United States,NA,733186,Finance,Property-Casualty Insurers
RDY,Dr. Reddy's Laboratories Ltd,India,NA,159791,Health Care,Major Pharmaceuticals
RES,RPC Inc.,United States,NA,512535,Energy,Oilfield Services/Equipment
REV,Revlon Inc. New,United States,1996,131932,Consumer Non-Durables,Package Goods/Cosmetics
REVG,REV Group Inc.,United States,2017,187991,Capital Goods,Auto Manufacturing
REZI,Resideo Technologies Inc.,NA,2018,520101,Capital Goods,Wholesale Distributors
RF,Regions Financial Corporation,United States,NA,4962180,Finance,Major Banks
RFP,Resolute Forest Products Inc.,Canada,NA,391382,Basic Industries,Paper
RGR,Sturm Ruger & Company Inc.,United States,NA,344133,Capital Goods,Ordnance And Accessories
RGS,Regis Corporation,United States,1991,192751,Consumer Services,Other Consumer Services
RH,RH,United States,2012,419593,Consumer Services,Other Specialty Stores
RHI,Robert Half International Inc.,United States,NA,816633,Technology,Professional Services
RICE,Rice Acquisition Corp. Class A,United States,2020,24807,Finance,Business Services
RIG,Transocean Ltd (Switzerland),Switzerland,NA,8879786,Energy,Oil & Gas Production
RIO,Rio Tinto Plc,Australia,2002,2070355,Basic Industries,Precious Metals
RJF,Raymond James Financial Inc.,United States,NA,567380,Finance,Investment Bankers/Brokers/Service
